question;option1;option2;option3;correct
Obec je oprávněna vydávat tyto právní předpisy:;obecně závazné vyhlášky obce v samostatné působnosti a nařízení obce v přenesené působnosti;obecně závazné vyhlášky obce v samostatné působnosti, nařízení obce v přenesené působnosti a současně je obec oprávněna podávat návrhy zákonů;obecně závazné vyhlášky obce v přenesené působnosti a nařízení obce v samostatné působnosti; A
Obec je oprávněna vydat nařízení,;je-li k tomu zmocněna zákonem, na základě zákona a v jeho mezích, přičemž postačí splnění pouze jedné z uvedených podmínek;na základě zákona a v jeho mezích, přičemž výslovné zákonné zmocnění k vydání nařízení není třeba;je-li k tomu zákonem zmocněna, na základě zákona a v jeho mezích, přičemž všechny podmínky musí být splněny současně; C
Metodickou a odbornou pomoc pri výkonu prenesené púsobnosti obce zabezpecuje vuci orgánum obcí;Ministerstvo vnitra;krajský úrad a vecne príslusná ministerstva ci jiné vēcne príslusné ústrední správni úrady;krajský úrad; C
Výkonem prenesené pusobnosti obce je;vykon státní správy a samosprávy;vykon samosprávy;vykon státní správy; C
Úřední deska obecního úřadu;je zřizována obecním úřadem, musí být umístěna na budově, v níž má obecní úřad své sídlo, a musí být umístěna na místě, které musí být veřejně přístupné zpravidla po 24 hodin denně;je zřizována starostou obce, zpravidla se umísťuje na budově, v níž má starosta své sídlo, a je umístěna na místě, které musí být veřejně přístupné zpravidla po 24 hodin denně;musí být nepřetržitě veřejně přístupná, přičemž pro jednotlivé orgány obce se zřizuje jedna úřední deska (jak stanoví správní řád); C
Zákon o obcích;upravuje problematiku obcí, přičemž se nevztahuje na hlavní město Prahu;upravuje problematiku obcí, přičemž se v případě, že zákon o hlavním městě Praze nestanoví výslovně jinak, použije podpůrně též na městské části hlavního města Prahy;upravuje problematiku obcí, přičemž se v případě, že zákon o hlavním městě Praze nestanoví výslovně jinak, použije podpůrně též na hlavní město Prahu; A
Záměr obce směnit nebo darovat nemovitý majetek, pronajmout jej nebo poskytnout jako výpůjčku;musí obec zveřejnit po dobu 30 dnů před rozhodnutím v příslušném orgánu obce, aby se k němu mohli zájemci vyjádřit a předložit své nabídky;rada obce zveřejní po dobu nejméně 30 dnů před rozhodnutím v příslušném orgánu obce;obec zveřejní po dobu nejméně 15 dnů před rozhodnutím v příslušném orgánu obce vyvěšením na úřední desce obecního úřadu, aby se k němu mohli zájemci vyjádřit a předložit své nabídky; C
Tajemník obecního úřadu;odpovídá za plnění úkolů obecního úřadu v samostatné působnosti zastupitelstvu obce a za plnění úkolů obecního úřadu v přenesené působnosti starostovi, přičemž není-li tato funkce v obci zřízena nebo není-li tajemník ustanoven, plní jeho úkoly starosta;odpovídá za plnění úkolů obecního úřadu v samostatné i přenesené působnosti zastupitelstvu obce, přičemž není-li tato funkce v obci zřízena nebo není-li tajemník ustanoven, plní jeho úkoly rada obce, popř. zastupitelstvo obce;odpovídá za plnění úkolů obecního úřadu v samostatné i přenesené působnosti starostovi, přičemž není-li tato funkce v obci zřízena nebo není-li tajemník ustanoven, plní jeho úkoly starosta; C
Tajemník obecního úřadu;se zúčastňuje zasedání zastupitelstva obce s hlasem poradním;hlasuje na zasedání zastupitelstva obce, pokud je o účast na zasedání požádán;není oprávněn se zúčastňovat zasedání zastupitelstva obce; A
Funkce tajemníka obecního úřadu;musí být vždy zřizována v obcích s rozšířenou působností, v ostatních obcích může být tato funkce zřízena;nemůže být zřizována v každé obci;musí být vždy zřizována v obcích s pověřeným obecním úřadem a v obcích s rozšířenou působností, v ostatních obcích může být tato funkce zřízena; C
Obecní úřad je tvořen;zaměstnanci obce, tajemníkem obecního úřadu, místostarostou či místostarosty a starostou, který stojí v jeho čele;zaměstnanci obce zařazenými do obecního úřadu, tajemníkem obecního úřadu, je-li tato funkce zřízena, a starostou, který stojí v jeho čele;zaměstnanci obce zařazenými do obecního úřadu, tajemníkem obecního úřadu, je-li tato funkce zřízena, místostarostou či místostarosty a starostou, který stojí v jeho čele; C
Zvláštní orgán obce;zřizuje starosta v případech, které stanoví zvláštní zákony pro výkon přenesené působnosti, starosta současně jmenuje a odvolává jeho členy;zřizuje starosta nebo rada, a to pro zabezpečení působnosti obce, starosta současně jmenuje a odvolává jeho členy;zřizuje pouze zastupitelstvo v případech, které stanoví zákon a jen pro výkon samostatné působnosti, zastupitelstvo současně jmenuje a odvolává jeho členy; A
Místostarosta obce;je volen do funkce zastupitelstvem obce z řad členů zastupitelstva obce, za výkon své funkce odpovídá starostovi obce, nemusí být občanem České republiky a spolu s ostatními místostarosty podepisuje právní předpisy obce;je volen do funkce zastupitelstvem obce z řad členů zastupitelstva obce, za výkon své funkce odpovídá zastupitelstvu obce, musí být občanem České republiky a spolu se starostou podepisuje právní předpisy obce;je volen do funkce zastupitelstvem obce z řad členů zastupitelstva obce, za výkon své funkce odpovídá starostovi obce, nemusí být občanem České republiky a spolu se starostou podepisuje právní předpisy obce; B
Starostu v době jeho nepřítomnosti nebo v době, kdy starosta nevykonává funkci, zastupuje;místostarosta, kterého určí rada obce;místostarosta, kterého určí starosta obce;místostarosta, kterého určí zastupitelstvo obce; B
Starosta;zastupuje obec navenek, je volen zastupitelstvem obce z řad jeho členů, odpovídá za výkon své funkce zastupitelstvu obce a musí být občanem České republiky;je statutárním orgánem obce, je volen zastupitelstvem obce z řad jeho členů, odpovídá za výkon své funkce zastupitelstvu obce a nemusí být občanem České republiky;zastupuje obec navenek, je volen zastupitelstvem obce z řad jeho členů, přičemž za výkon své funkce nikomu nezodpovídá a musí být občanem České republiky; A
Do vyhrazené pravomoci rady obce mj. současně náleží;schvalovat organizační řád obecního úřadu, rozhodovat o uzavírání nájemních smluv a vydávat obecně závazné vyhlášky;rozhodovat ve věcech obce jako jediného společníka obchodní společnosti, zřizovat a zrušovat podle potřeby komise rady obce a schvalovat rozpočet obce;zabezpečovat hospodaření obce podle schváleného rozpočtu, provádět rozpočtová opatření v rozsahu stanoveném zastupitelstvem obce a vydávat nařízení obce; C
Rada obce;se může volit v každé obci, a to bez ohledu na počet členů zastupitelstva obce;se nevolí v obcích, kde je počet členů zastupitelstva obce nižší než 15;se volí pouze ve městech; B
Nesejde-li se zastupitelstvo obce;po dobu delší než 6 měsíců tak, aby bylo schopno se usnášet, Ministerstvo vnitra je rozpustí;po dobu delší než 3 měsíce tak, aby bylo schopno se usnášet, Ministerstvo vnitra je rozpustí;po dobu delší než 3 měsíce tak, aby bylo schopno se usnášet, oznámí neprodleně tuto skutečnost krajskému úřadu; A
V obci, kde se rada obce nevolí, vykonává její pravomoc;starosta obce, pokud zákon o obcích nestanoví jinak;pouze zastupitelstvo obce;pouze starosta obce; A
Zasedání zastupitelstva obce se koná;dle potřeby, nejméně však jednou ročně, svolává jej a zpravidla řídí nejstarší člen zastupitelstva obce, je veřejné a informaci o jeho konání podává obecní úřad vyvěšením na úřední desce obecního úřadu alespoň 7 dní před zasedáním;dle potřeby, nejméně však jednou za tři měsíce, svolává jej a zpravidla řídí starosta obce, je veřejné a informaci o jeho konání podává obecní úřad vyvěšením na úřední desce obecního úřadu alespoň 7 dní před zasedáním;dle potřeby, nejméně však jednou za tři měsíce, svolává jej a zpravidla řídí starosta obce, je neveřejné a informaci o jeho konání podává obecní úřad vyvěšením na úřední desce obecního úřadu alespoň 7 dní před zasedáním; B
Usnesení zastupitelstva obce je platné;při souhlasném vyjádření třípětinové většiny přítomných členů zastupitelstva obce;při souhlasném vyjádření nadpoloviční většiny všech členů zastupitelstva obce;při souhlasném vyjádření nadpoloviční většiny přítomných členů zastupitelstva obce; B
Do vyhrazené pravomoci zastupitelstva obce mj. současně náleží;stanovovat počet členů rady obce, volit z řad členů zastupitelstva obce starostu, místostarosty a další radní a odvolávat je z funkce a ukládat pokuty ve věcech samostatné působnosti obce;rozhodovat o založení a zrušení právnických osob, rozhodovat o vyhlášení místního referenda a zřizovat a zrušovat obecní policii;schvalovat rozpočet obce a závěrečný účet obce, schvalovat program rozvoje obce, stanovit celkový počet zaměstnanců obce v obecním úřadu a v organizačních složkách obce a rozhodovat o uzavírání nájemních smluv a smluv o výpůjčce; B
Právní předpisy obce vydává;zastupitelstvo obce – obecně závazné vyhlášky obce a bez ohledu na to, zda je zřízena rada obce, též i nařízení obce;zastupitelstvo obce – obecně závazné vyhlášky obce a rada obce nařízení obce, přičemž pokud není rada obce zřízena, vykonává tuto pravomoc starosta;zastupitelstvo obce – obecně závazné vyhlášky obce a rada obce nařízení obce, přičemž pokud není rada obce zřízena, vykonává tuto pravomoc zastupitelstvo obce; C
Zastupitelstvo obce je oprávněno, z náležitostí patřících do samostatné působnosti obce si vyhradit;veškeré pravomoci v samostatné působnosti obce bez ohledu na to, kterému orgánu svěřuje zákon příslušnou pravomoc, avšak vždy po předchozím souhlasu příslušného orgánu;pravomoci v samostatné působnosti obce s výjimkou pravomocí, které zákon vyhrazuje radě obce;veškeré pravomoci v samostatné působnosti obce bez jakékoliv výjimky; B
O záležitostech, které zákon svěřuje do vyhrazené pravomoci zastupitelstva obce, rozhoduje;pouze zastupitelstvo obce, přičemž žádnou z těchto pravomocí není oprávněno zastupitelstvo svěřit jinému orgánu obce;pouze zastupitelstvo obce, přičemž je oprávněno některou z těchto pravomocí svěřit radě obce;pouze zastupitelstvo obce, přičemž je oprávněno některou z těchto pravomocí svěřit některému z orgánů obce; A
Člen zastupitelstva obce je mj. povinen;zúčastňovat se zasedání zastupitelstva obce, popřípadě jiných zasedání jiných orgánů obce, je-li jejich členem;zúčastňovat se zasedání zastupitelstva obce, popřípadě i zasedání jiných orgánů obce, je-li jejich členem, a to minimálně 4 x ročně;zúčastňovat se zasedání zastupitelstva obce, popřípadě i zasedání jiných orgánů obce, přičemž mu nikdo není oprávněn ukládat úkoly; A
Člen zastupitelstva obce je při výkonu své funkce mj. oprávněn;požadovat od zaměstnanců obecního úřadu informace ve věcech, které souvisí s výkonem jejich funkce, přičemž informace musí být poskytnuta nejpozději do 60 dnů;požadovat od zaměstnanců obce zařazených do obecního úřadu, jakož i od zaměstnanců právnických osob, které obec založila nebo zřídila, informace ve věcech, které souvisí s výkonem jejich funkce, přičemž informace musí být poskytnuta nejpozději do 30 dnů;požadovat od zaměstnanců obce zařazených do obecního úřadu informace ve věcech, které souvisí s výkonem jejich funkce, přičemž informace musí být poskytnuta do 30 dnů, pokud však nadřízený příslušného zaměstnance nerozhodne jinak; B
Členům zastupitelstva obce, kteří byli pro výkon své funkce uvolněni,;musí být za stanovených podmínek poskytnuta za výkon funkce odměna, odměna se poskytuje měsíčně;musí být vždy vyplaceno odchodné při zániku mandátu člena zastupitelstva obce;musí být poskytnuta mimořádná odměna za splnění mimořádných nebo zvláště významných úkolů obce; A
Pokud obec vykonává samostatnou působnost, je při jejím výkonu vázána;při vydávání obecně závazných vyhlášek zákonem a v ostatních záležitostech též jinými právními předpisy vydanými na základě zákona a směrnicemi ministerstev a jiných ústředních správních úřadů;při vydávání obecně závazných vyhlášek zákonem a v ostatních záležitostech též jinými právními předpisy vydanými na základě zákona a závaznými pokyny krajského úřadu a Ministerstva vnitra;při vydávání obecně závazných vyhlášek zákonem a v ostatních záležitostech též jinými právními předpisy vydanými na základě zákona; C
Dvě nebo více obcí se mohou sloučit;na základě vzájemné dohody;na základě rozhodnutí krajského úřadu;na základě rozhodnutí Ministerstva vnitra; A
Místní referendum se musí vždy konat;při sloučení dvou či více obcí;při oddělení části obce, a to v té části obce, která se chce oddělit;při připojení obce k jiné obci, a to v obou obcích; B
Sloučení obcí, připojení obce, městských částí nebo městských obvodů nebo oddělení části obce lze provést jen;k počátku kalendářního roku nebo ke dni voleb do zastupitelstev v obcích;k počátku kalendářního roku;k počátku kalendářního roku následujícího po dni voleb do zastupitelstev v obcích; B
Mezi vyhrazené pravomoci zastupitelstva obce dle zákona o obcích nepatří:;plnění úkolů statutárního orgánu zaměstnavatele podle zvláštních právních předpisů vůči zaměstnancům obce zařazeným do obecního úřadu;"rozhodování o nabytí a převodu hmotných nemovitých věcí včetně vydání nemovitostí podle zvláštních zákonů, s výjimkou inženýrských sítí a pozemních komunikací; převodu bytů a nebytových prostorů z majetku obce";zřizování a rušení příspěvkových organizací a organizačních složek obce, schvalování jejich zřizovací listiny; A
Rozhodnutí orgánů městských obvodů a městských částí vydaná ve správním řízení přezkoumává;magistrát statutárního města, pokud tato působnost není svěřena zvláštnímu orgánu města nebo zvláštní zákon nestanoví jinak;pouze magistrát statutárního města;krajský úřad v přenesené působnosti, pokud zvláštní zákon nestanoví jinak; A
Území statutárních měst;lze členit na městské obvody nebo městské části;se musí vždy členit na městské obvody nebo městské části;nelze členit; A
Městské obvody a městské části územně členěných statutárních měst jednají za statutární město;pouze v záležitostech, které jim svěřuje zákon;v záležitostech jim svěřených zákonem a v mezích zákona statutem;v záležitostech, které si městské obvody a městské části územně členěných statutárních měst samy vyhradí; B
Městské obvody a městské části územně členěných statutárních měst;mohou vydávat pouze nařízení, pokud jim tuto pravomoc statutární město svěří;mohou vydávat právní předpisy obce;nemohou vydávat právní předpisy obce; C
Územně členěná statutární města;své vnitřní poměry ve věcech správy města upraví statutem, který je vydáván formou usnesení zastupitelstva města;své vnitřní poměry ve věcech správy města upraví statutem, který je vydáván formou obecně závazné vyhlášky obce;své vnitřní poměry ve věcech správy města upraví statutem, přičemž formu vydání statutu zákon nestanoví; B
Územně členěná statutární města své vnitřní poměry ve věcech správy města upraví;ve Věstníku statutárního města;statutem;usnesením rady města; B
Výčet obcí s pověřeným obecním úřadem a obcí s rozšířenou působností;stanoví zákon o obcích, přičemž jejich správní obvody, které jsou vymezeny územím obcí, stanoví vyhláška;stanoví zvláštní zákon, přičemž jejich správní obvody, které jsou vymezeny územím okresů, stanoví vyhláška;stanoví zvláštní zákony, přičemž jejich správní obvody, které jsou vymezeny územím obcí, popř. vojenských újezdů, stanoví prováděcí vyhlášky; C
Subjekty, které jsou oprávněné vydávat prováděcí právní předpisy, jsou:;pouze ministerstva, jiné správní úřady a územní samosprávné celky;pouze vláda, ministerstva a územní samosprávné celky;vláda, ministerstva, jiné správní úřady a územní samosprávné celky; C
Povinnými subjekty, které mají podle zákona o svobodném přístupu k informacím povinnost poskytovat informace vztahující se k jejich působnosti, jsou;pouze státní orgány a územní samosprávné celky;pouze státní orgány a územní samosprávné celky, jde-li o informace týkající se výkonu přenesené působnosti;státní orgány, územní samosprávné celky a jejich orgány a veřejné instituce; C
V místním referendu se rozhoduje;o záležitostech, které patří do samostatné působnosti obce;o věcech, které patří do přenesené působnosti obce;o věcech, které patří do samostatné působnosti obce nebo kraje; A
Veřejnou správu tvoří;státní správa a samospráva;pouze ústřední státní správa a samospráva;pouze státní správa; A
Ústřední úroveň státní správy je představována;pouze ministerstvy;ministerstvy, Parlamentem České republiky a Nejvyšším správním soudem;ministerstvy a jinými ústředními správními úřady; C
Dnem účinnosti právního předpisu je;den jeho schválení Parlamentem České republiky;den jeho vyhlášení ve Sbírce zákonů;den, od něhož právní předpis zakládá, mění nebo ruší právní vztahy; C
Referendum podle zákona o místním referendu lze konat:;o věcech, které patří do samostatné a přenesené působnosti obce nebo statutárního města;o věcech, které patří do samostatné působnosti obce nebo statutárního města;o zřízení nebo zrušení orgánů obce nebo statutárního města a o jejich vnitřním uspořádání a o schválení, změně nebo zrušení obecně závazné vyhlášky obce; B
Správními činnostmi se pro účely zákona o úřednících územních samosprávných celků rozumí;plnění úkolů v samostatné nebo přenesené působnosti územního samosprávného celku podle zvláštních právních předpisů;plnění úkolů v přenesené působnosti územního samosprávného celku podle zvláštních právních předpisů;plnění úkolů v samostatné nebo přenesené působnosti vymezených vyhláškou Ministerstva vnitra; A
Správní činnosti stanovené prováděcím právním předpisem zajišťuje územní samosprávný celek prostřednictvím úředníků, kteří prokázali zvláštní odbornou způsobilost. Výjimečně tyto činnosti může vykonávat i úředník, který nemá zvláštní odbornou způsobilost,;nejdéle však po dobu 18 měsíců od vzniku pracovního poměru úředníka k územnímu samosprávnému celku nebo ode dne, kdy začal vykonávat činnost, pro jejíž výkon je prokázání zvláštní odborné způsobilosti předpokladem;nejdéle však po dobu 6 měsíců od vzniku pracovního poměru úředníka k územnímu samosprávnému celku nebo ode dne, kdy začal vykonávat činnost, pro jejíž výkon je prokázání zvláštní odborné způsobilosti předpokladem;nejdéle však po dobu 12 měsíců od vzniku pracovního poměru úředníka k územnímu samosprávnému celku nebo ode dne, kdy začal vykonávat činnost, pro jejíž výkon je prokázání zvláštní odborné způsobilosti předpokladem; A
Dnem platnosti právního předpisu je;den jeho vyhlášení;den jeho schválení Parlamentem České republiky;den, od něhož právní předpis zakládá, mění nebo ruší právní vztahy; A
Ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů se vedle právních předpisů územních samosprávných celků zveřejňují i;nařízení vlády;některé akty, které vznikají při výkonu působnosti územních samosprávných celků nebo v souvislosti s tímto výkonem;právní předpisy vydávané ministerstvy; B
Územní samosprávné celky jsou;městské části a obvody statutárních měst a svazky obcí a krajů;obce, města, městské části a kraje;územní společenství občanů, která mají právo na samosprávu; C
Ke změně názvu obce dává souhlas:;Ministerstvo vnitra na návrh obce;krajský úřad na návrh starosty obce;soud na základě žádosti podepsané nadpoloviční většinou všech členů zastupitelstva obce; A
Vláda je oprávněna vydávat nařízení;na základě zákona a v jeho mezích, jen je-li k tomu zákonem zmocněna;k provedení zákona a v jeho mezích;"na základě zákona a v jeho mezích; tato nařízení jsou závazná jen pro územní samosprávné celky"; B
Právo obcí na samosprávu garantuje;zákon o zřízení ministerstev a jiných ústředních orgánů státní správy České republiky;Ústava;Listina základních práv a svobod; B
Ministerstva, jiné správní úřady a orgány územní samosprávy mohou vydávat právní předpisy;v mezích své působnosti, je-li to potřebné;na základě a v mezích zákona, jsou-li k tomu zákonem zmocněny;na základě a v mezích zákona; B
Ministerstva a jiné správní úřady lze zřídit a jejich působnost stanovit;zákonem a v zákonem stanovených případech též nařízením vlády;pouze ústavním zákonem;pouze zákonem; C
Působnost zastupitelstev územních samosprávných celků;lze stanovit zákonem nebo na jeho základě vydaným prováděcím právním předpisem;lze stanovit jen ústavním zákonem;lze stanovit jen zákonem; C
Právo být volen do zastupitelstva kraje má za podmínek stanovených zvláštním zákonem;občan kraje, který dosáhl věku 18 let a vlastní na území obce nemovitost;občan České republiky, který dosáhl věku 18 let a je přihlášen k trvalému pobytu v některé obci v územním obvodu kraje;občan kraje, který dosáhl věku 18 let a dále fyzická osoba, která dosáhla věku 18 let a vlastní na území obce nemovitost; A
Platné a účinné právní předpisy obcí vydané před 1. 1. 2022;musí být zveřejněny ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů nejpozději do 3 let ode dne nabytí účinnosti zákona o Sbírce právních předpisů územních samosprávných celků a některých správních úřadů, jinak pozbývají platnosti;nemusí být zveřejněny ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů;musí být zveřejněny ve Sbírce právních předpisů územních samosprávných celků a některých správních úřadů nejpozději do 10 let ode dne nabytí účinnosti zákona o Sbírce právních předpisů územních samosprávných celků a některých správních úřadů, jinak pozbývají platnosti; A
Státní moc lze uplatňovat jen;v případech stanovených ústavním zákonem nebo mezinárodní smlouvou;v případech, v mezích a způsoby, které stanoví zákon;v případech stanovených zákonem nebo prováděcím právním předpisem; B
Přijaté zákony podepisuje:;prezident republiky, předseda vlády a předseda Senátu;předseda vlády, předseda Poslanecké sněmovny a prezident republiky;předseda Poslanecké sněmovny, předseda Senátu a předseda vlády; B
Právo podat návrh zákona má podle Ústavy České republiky:;poslanec, skupina poslanců, Senát, vláda nebo zastupitelstvo vyššího územního samosprávného celku;Poslanecká sněmovna, Senátor, vláda nebo legislativní rady vlády;každý občan, který má právo volit, musí tak ovšem učinit prostřednictvím poslance, který má poslanecký obvod v místě trvalého bydliště navrhovatele zákona; A
Prezident republiky:;má právo vrátit každý přijatý zákon;musí podepsat každý zákon, který přijala Poslanecká sněmovna a Senát;má právo vrátit Parlamentu přijatý zákon s výjimkou zákona ústavního; C
Územní samosprávu vykonávají:;obce, kraje a hlavní město Praha;obce, kraje, hlavní město Praha, Asociace krajů a Svaz měst a obcí ČR;obecní a krajské úřady; A
Základní lhůta pro vyřízení žádosti o informace podle zákona č. 106/1999 Sb. činí:;15 dnů;30 dnů;bezodkladně, nejpozději však do 30 dnů ode dne doručení žádosti k nimž je možno připočíst dalších 30 dnů, pokud je třeba žadatele předvolat, nařídit ústní jednání, šetření, ohledání apod.; A
Neposkytne-li povinný subjekt informaci, protože ji nemá a mít nemusí:;vydá rozhodnutí o odmítnutí žádosti, které musí splňovat náležitosti správního rozhodnutí;odkáže žadatele na orgán, který informací disponuje a jde-li o orgán veřejné moci, postoupí tomuto orgánu žádost usnesením;řízení o žádosti přeruší a předá věc nadřízenému orgánu k rozhodnutí s odůvodněním, že informace nemá a mít nemusí; A
Žadatelem o informaci podle zákona č. 106/1999 Sb. o svobodném přístupu k informacím je:;pouze fyzická osoba – plně svéprávný občan České republiky;fyzická i právnická osoba;každá fyzická osoba, která prokáže právní zájem na poskytnutí informace; B
Povinný subjekt:;má právo požadovat za poskytnutí informací úhradu;je povinen poskytovat informace bezplatně;má právo požadovat úhradu pouze za poskytnutí utajovaných informací; A
Osobním údajem se rozumí:;jméno, příjmení a rodné číslo;jméno nebo jména, příjmení, rodné číslo a adresa pobytu uvedena v evidenci osob;jakékoli informace, které se týkají identifikované nebo identifikovatelné žijící osoby; C
Subjektem údajů se rozumí:;fyzická osoba, k níž se osobní údaje vztahují;úřad, který, byť jeden osobní údaj zpracovává;stát jako nositel pravomoci vést osobní údaje o každém občanu; A
Opravnými prostředky podle zákona č. 106/1999 Sb. o svobodném přístupu k informacím jsou:;odvolání a stížnost;odvolání a rozklad;stížnost a rozklad; A
Je-li nařízení rady obce v rozporu se zákonem,;příslušný krajský úřad vyzve radu obce k nápravě;Ministerstvo vnitra pozastaví jeho účinnost;rozhodne o jeho platném znění zastupitelstvo příslušné obce; A
Ministerstvo vnitra může pozastavit účinnost obecně závazné vyhlášky obce bez předchozí výzvy ke zjednání nápravy;odporuje-li obecně závazná vyhláška obce zákonu a vyhlášce ministerstva;odporuje-li obecně závazná vyhláška obce zákonu a nařízení vlády;v případě zřejmého rozporu s lidskými právy a základními svobodami; C
Odporuje-li obecně závazná vyhláška obce zákonu,;vyzve krajský úřad obec ke zjednání nápravy;pozastaví krajský úřad její účinnost bez předchozí výzvy ke zjednání nápravy;vyzve Ministerstvo vnitra obec ke zjednání nápravy; C
Odporuje-li nařízení obce zákonu nebo jinému právnímu předpisu,;vyzve krajský úřad obec ke zjednání nápravy;zruší krajský úřad toto nařízení bez předchozí výzvy ke zjednání nápravy;vyzve Ministerstvo vnitra obec ke zjednání nápravy; A
Funkce starosty je neslučitelná;s funkcí člena kontrolního výboru dané obce;s výkonem mandátu poslance či senátora;s výkonem mandátu zastupitele kraje; A
Funkce člena zastupitelstva kraje je neslučitelná;s funkcí vykonávanou na ministerstvu, jiném ústředním orgánu státní správy nebo na orgánu státní správy s celostátní působností, obsazovanou volbou, jmenováním nebo ustanovováním;s funkcí člena zastupitelstva obce, která leží na území příslušného kraje;s funkcí starosty obce, která leží na území příslušného kraje; A
Odvoláním starosty z funkce;zaniká automaticky též jeho mandát zastupitele;přestává být členem rady;dochází k odvolání celé rady; B
V obcích, kde se rada obce nezřizuje, vykonává její pravomoci:;starosta;zákonem stanovené kompetence přecházejí na starostu a tajemníka;v zákonem stanovených případech zastupitelstvo obce a starosta; C
Mandát zastupitele zaniká:;nesejde-li se zastupitelstvo po dobu delší než 6 měsíců;ztrátou volitelnosti;k 31. 12. kalendářního roku, v němž dosáhl věku 70 let; B
Tajemník obce:;je ze své funkce nezávislý, podléhá odvolání ředitelem krajského úřadu;je ze své funkce odpovědný starostovi;je ze své funkce odvolán ředitelem krajského úřadu po předchozím projednání zastupitelstva příslušné obce; B
Úředníkem obce je:;zaměstnanec obce;starosta, místostarosta a hejtman;zaměstnanec obce podílející se na výkonu správních činností zařazený do obecního úřadu; C
Úředníkem obce je;tajemník obecního úřadu;starosta obce;vždy každý zaměstnanec obce; A
Tajemník úřadu městského obvodu nebo úřadu městské části;je jmenován a odvoláván starostou městského obvodu nebo městské části, a to se souhlasem ředitele krajského úřadu, přičemž bez tohoto souhlasu je jmenování a odvolání tajemníka úřadu městského obvodu nebo úřadu městské části neplatné;je jmenován a odvoláván primátorem statutárního města, a to se souhlasem tajemníka magistrátu statutárního města, přičemž bez tohoto souhlasu je jmenování a odvolání tajemníka úřadu městského obvodu nebo úřadu městské části neplatné;je jmenován a odvoláván starostou městského obvodu nebo městské části, a to se souhlasem tajemníka magistrátu statutárního města, přičemž bez tohoto souhlasu je jmenování a odvolání tajemníka úřadu městského obvodu nebo úřadu městské části neplatné; C
Komise rady obce;je orgánem obce, odpovídá za svou činnost radě obce;je orgánem rady obce, odpovídá za veškerou svou činnost zastupitelstvu obce;je orgánem rady obce, odpovídá za svou činnost radě obce; C
Předsedou komise rady obce, které byl svěřen výkon přenesené působnosti, může být jen;osoba, která, nestanoví-li zvláštní zákon jinak, prokázala zvláštní odbornou způsobilost v oblasti komisi svěřené přenesené působnosti;osoba s vysokoškolským vzděláním příslušného směru;starosta nebo místostarosta obce; A
Zastupitelstvo obce zřizuje vždy;finanční výbor, kontrolní výbor a výbor pro výchovu a vzdělávání;finanční výbor, kontrolní výbor a školský výbor;finanční výbor a kontrolní výbor; C
Výbor zastupitelstva obce;je orgánem obce;je orgánem zastupitelstva obce;je orgánem rady obce; B
Zřízení odborů a počet zaměstnanců obecního úřadu podléhá souhlasu;rady obce;zastupitelstvu obce;starosty, po předchozím projednání s odborovou organizací; A
Členem kontrolního výboru nemůže být;ten, kdo nesplňuje zákonem stanovené požadavky spočívající v uznatelnosti vzdělání nebo úspěšném absolvování zkoušky odborné způsobilosti;starosta;zastupitel; B
Předsedou kontrolního výboru může být jen;zastupitel;osoba splňující zákonem stanovené požadavky v oboru práva a kontroly;osoba splňující zákonem stanovené požadavky v oboru práva a kontroly a prokáže-li souvislou praxi v těchto oborech po dobu nejméně 5 let; A
Pracovní poměr úředníka upravuje:;zákon č. 312/2002 Sb. o úřednících a zákon č. 262/2006 Sb., zákoník práce;zákon č. 234/2014 Sb. o státní službě;zákon č. 262/2006 Sb., zákoník práce; A
Úřední osoba je;osoba bezprostředně se podílející na výkonu pravomoci správního orgánu;každý zaměstnanec obce;každý zaměstnanec obce vyjma osoby stojící v čele příspěvkové organizace zřízené obcí; A
Oprávněná úřední osoba je;osoba bezprostředně se podílející na výkonu pravomoci správního orgánu;úřední osoba oprávněná k provádění úkonů správního orgánů podle vnitřních předpisů správního orgánu nebo pověřená vedoucím správního orgánu;zaměstnanec obce včetně zaměstnanců příspěvkových organizací; B
Účastník řízení může namítat podjatost:;"jakmile se o ní dozví; pokud ji neuplatní bez zbytečného odkladu, k námitce se nepřihlédne";do 30 dnů ode dne kdy se o ní dozvěděl;do 15 dnů ode dne oznámení rozhodnutí, nejpozději do vydání rozhodnutí odvolacího orgánu ve věci; A
O námitce podjatosti úřední osoby rozhodne:;služebně nadřízený úřední osoby, vůči níž námitka podjatosti směřuje;tajemník z funkce nadřízeného všem úředníkům a plnící funkci zaměstnavatele;nadřízený správní orgán; A
Následkem vyloučení úřední osoby pro pochybnost o její nepodjatosti může být:;delegace věci nadřízenému orgánu;zastavení řízení;atrakce nadřízeným orgánem;A
O námitce podjatosti se rozhoduje:;usnesením;rozhodnutím;opatřením obecné povahy, jde-li o vyloučení vše úředních osob správního orgánu; A
Pro nahlížení do správního spisu se užije právní úpravy zakotvené v zákonu:;č. 106/1999 Sb.;č. 500/2004 Sb.;podle kterého se vede řízení; B
